Value,Timestamp,RecieverName,SenderName,SenderId,ReceiverId
928.5909173238842,2022-10-02 12:31:48,Wilbert,Steven,10,3296
875.8440104199838,2022-02-04 08:17:24,Wilbert,Joseph,23,3296
565.1864488425707,2021-11-10 05:17:04,Wilbert,Donna,46,3296
353.1395769609966,2021-07-14 20:56:25,Wilbert,Jane,87,3296
878.0681233174141,2021-12-20 12:12:27,Wilbert,James,95,3296
593.3072807179532,2022-01-03 19:12:41,Wilbert,Ronald,115,3296
419.93420243323465,2021-06-05 22:10:11,Wilbert,Michelle,174,3296
954.9195520638424,2022-09-30 00:57:15,Wilbert,Walter,337,3296
742.0343087614442,2022-09-15 09:49:11,Wilbert,Jenny,894,3296
320.4039959160254,2021-10-31 12:00:52,Wilbert,Gisela,1735,3296
325.6796811375304,2021-01-29 00:12:14,Adolph,Steven,10,1329
485.6604091544473,2022-08-30 19:01:22,Adolph,David,75,1329
420.0206616175854,2022-03-31 15:51:52,Adolph,Rafael,735,1329
817.0773904002322,2021-11-18 17:29:38,Donna,Steven,10,46
858.481848572872,2021-02-07 06:36:22,Donna,Steven,10,46
817.1255447532905,2022-06-07 19:49:26,Donna,Steven,10,46
935.6858715759888,2021-05-16 00:15:09,Donna,Michael,11,46
947.6269105761332,2022-12-12 14:57:15,Donna,Brian,13,46
285.92218314155804,2021-01-05 22:42:55,Donna,Sherry,15,46
202.4332616728892,2021-11-28 01:05:18,Donna,Ann,18,46
265.5635994179931,2021-09-05 17:35:15,Donna,Stella,19,46
154.52349144811237,2022-09-24 20:43:56,Donna,William,21,46
152.973587655471,2022-06-07 15:36:04,Donna,John,22,46
554.9657921351873,2021-09-23 14:28:46,Donna,Joseph,23,46
56.80073059763907,2022-06-13 21:36:14,Donna,Joseph,23,46
465.24616537937493,2021-08-13 23:29:47,Donna,Andrew,27,46
570.4296888603575,2021-08-15 00:06:53,Donna,Jennifer,28,46
279.42310788100724,2021-09-12 11:14:33,Donna,Richard,34,46
194.5912923142723,2022-09-15 01:25:08,Donna,Richard,34,46
640.1648893208103,2022-08-27 10:22:44,Donna,Raymond,36,46
659.383738299348,2021-09-01 13:37:42,Donna,Raymond,36,46
124.48116050376471,2022-01-14 17:34:24,Donna,Anna,37,46
966.7704031924883,2021-08-27 07:05:52,Donna,Linda,38,46
443.2584843386563,2022-06-25 18:48:46,Donna,Linda,38,46
12.146048059142371,2022-12-26 15:21:21,Donna,Joshua,40,46
906.7977931807126,2021-09-27 18:42:18,Donna,Tammy,42,46
258.81129306626167,2022-11-01 08:38:41,Donna,Stacy,44,46
86.32512968299804,2022-05-30 00:10:52,Donna,Kathleen,45,46
336.28273362244994,2021-10-04 11:52:11,Donna,Jason,58,46
553.152864290804,2022-12-03 00:36:07,Donna,Jason,58,46
739.5707483760897,2021-02-03 21:27:39,Donna,Mary,64,46
663.4486738236217,2021-05-03 20:18:08,Donna,Mary,64,46
560.1996117414814,2022-01-28 02:05:38,Donna,Mary,64,46
433.4652296715991,2022-06-14 13:43:42,Donna,Mary,64,46
137.6475119181548,2022-12-21 04:21:07,Donna,Robert,67,46
228.48807886678952,2022-02-11 02:52:36,Donna,Robert,67,46
621.5141194653216,2021-03-24 11:12:04,Donna,Robert,67,46
279.52248061045884,2021-07-10 15:29:33,Donna,Kenneth,68,46
588.2798621815255,2022-02-28 14:38:52,Donna,Kenneth,68,46
676.1719812069615,2021-08-18 01:13:43,Donna,Kenneth,68,46
526.3240419311738,2022-02-15 15:10:30,Donna,Kenneth,68,46
72.33854366308462,2022-07-20 06:29:48,Donna,Lucinda,69,46
893.7599636156667,2022-10-13 06:58:06,Donna,Lucinda,69,46
833.2024979572843,2022-12-24 06:26:12,Donna,Leslie,74,46
97.446569278295,2021-12-17 13:18:20,Donna,David,75,46
346.6634974907028,2022-01-12 15:46:34,Donna,David,75,46
281.8616550784772,2022-03-09 11:41:22,Donna,David,75,46
870.3727779179775,2022-09-13 10:19:28,Donna,Barbara,78,46
31.684785792761815,2022-10-01 16:07:26,Donna,Larry,85,46
499.95167519654836,2022-09-13 04:59:45,Donna,Paul,89,46
126.80091144679503,2022-10-21 19:50:00,Donna,Paul,89,46
686.9917422915548,2022-11-13 07:04:15,Donna,Ruth,90,46
541.7781941438858,2022-07-21 10:52:30,Donna,Jeff,92,46
62.315037009402026,2022-03-18 23:32:24,Donna,Howard,97,46
164.0812926450941,2021-09-30 02:50:21,Donna,Maureen,100,46
